code,state,number
CA,California,46589
FL,Florida,46539
TX,Texas,45670
NY,New York,38784
WA,Washington,36875
PA,Pennsylvania,26718
VA,Virginia,26571
OH,Ohio,25432
NC,North Carolina,25015
IL,Illinois,24600
NJ,New Jersey,19930
MA,Massachusetts,19191
CO,Colorado,16756
CT,Connecticut,16715
MD,Maryland,12800
LA,Louisiana,12320
MI,Michigan,12105
WI,Wisconsin,11738
KS,Kansas,11501
IN,Indiana,9851
MN,Minnesota,9811
OK,Oklahoma,9433
AZ,Arizona,9302
TN,Tennessee,9151
MO,Missouri,8894
OR,Oregon,7213
KY,Kentucky,6500
AL,Alabama,5840
UT,Utah,5579
NH,New Hampshire,5124
IA,Iowa,5050
MS,Mississippi,3672
ID,Idaho,3503
NE,Nebraska,3290
AR,Arkansas,2981
NM,New Mexico,2857
ME,Maine,2036
SD,South Dakota,1789
WV,West Virginia,1696
MT,Montana,1540
DE,Delaware,1381
VT,Vermont,1347
AK,Alaska,770
WY,Wyoming,712
HI,Hawaii,672
GA,Georgia,
NV,Nevada,
ND,North Dakota,
RI,Rhode Island,
SC,South Carolina,
